Epoch [12/250], Progress: 1/13, Train Loss: 0.0378
Epoch [12/250], Progress: 2/13, Train Loss: 0.2162
Epoch [12/250], Progress: 3/13, Train Loss: 0.1895
Epoch [12/250], Progress: 4/13, Train Loss: 0.0315
Epoch [12/250], Progress: 5/13, Train Loss: 0.0565
Epoch [12/250], Progress: 6/13, Train Loss: 0.1363
Epoch [12/250], Progress: 7/13, Train Loss: 0.2075
Epoch [12/250], Progress: 8/13, Train Loss: 0.0190
Epoch [12/250], Progress: 9/13, Train Loss: 0.0412
Epoch [12/250], Progress: 10/13, Train Loss: 0.0371
Epoch [12/250], Progress: 11/13, Train Loss: 0.3332
Epoch [12/250], Progress: 12/13, Train Loss: 0.3484
Epoch [12/250], Progress: 13/13, Train Loss: 0.0396
Epoch [12/250], Train Loss: 0.1303, Validation Loss: 0.0687

Epoch [13/250], Progress: 1/13, Train Loss: 0.0246
Epoch [13/250], Progress: 2/13, Train Loss: 0.0175
Epoch [13/250], Progress: 3/13, Train Loss: 0.0341
Epoch [13/250], Progress: 4/13, Train Loss: 0.0666
Epoch [13/250], Progress: 5/13, Train Loss: 0.0828
Epoch [13/250], Progress: 6/13, Train Loss: 0.1005
Epoch [13/250], Progress: 7/13, Train Loss: 0.0605
Epoch [13/250], Progress: 8/13, Train Loss: 0.2757
Epoch [13/250], Progress: 9/13, Train Loss: 0.0229
Epoch [13/250], Progress: 10/13, Train Loss: 0.0742
Epoch [13/250], Progress: 11/13, Train Loss: 0.3021
Epoch [13/250], Progress: 12/13, Train Loss: 0.0984
Epoch [13/250], Progress: 13/13, Train Loss: 0.4726
Epoch [13/250], Train Loss: 0.1256, Validation Loss: 0.0601

Epoch [14/250], Progress: 1/13, Train Loss: 0.2805
Epoch [14/250], Progress: 2/13, Train Loss: 0.1082
Epoch [14/250], Progress: 3/13, Train Loss: 0.6002
Epoch [14/250], Progress: 4/13, Train Loss: 0.0855
Epoch [14/250], Progress: 5/13, Train Loss: 0.0829
Epoch [14/250], Progress: 6/13, Train Loss: 0.2426
Epoch [14/250], Progress: 7/13, Train Loss: 0.1613
Epoch [14/250], Progress: 8/13, Train Loss: 0.0459
Epoch [14/250], Progress: 9/13, Train Loss: 0.0339
Epoch [14/250], Progress: 10/13, Train Loss: 0.2047
Epoch [14/250], Progress: 11/13, Train Loss: 0.0950
Epoch [14/250], Progress: 12/13, Train Loss: 0.2172
Epoch [14/250], Progress: 13/13, Train Loss: 0.0491
Epoch [14/250], Train Loss: 0.1698, Validation Loss: 0.0652

Epoch [15/250], Progress: 1/13, Train Loss: 0.1149
Epoch [15/250], Progress: 2/13, Train Loss: 0.1454
Epoch [15/250], Progress: 3/13, Train Loss: 0.0131
Epoch [15/250], Progress: 4/13, Train Loss: 0.0197
Epoch [15/250], Progress: 5/13, Train Loss: 0.0696
Epoch [15/250], Progress: 6/13, Train Loss: 0.3088
Epoch [15/250], Progress: 7/13, Train Loss: 0.1768
Epoch [15/250], Progress: 8/13, Train Loss: 0.3400
Epoch [15/250], Progress: 9/13, Train Loss: 1.7872
Epoch [15/250], Progress: 10/13, Train Loss: 0.1279
Epoch [15/250], Progress: 11/13, Train Loss: 0.0351
Epoch [15/250], Progress: 12/13, Train Loss: 0.0418
Epoch [15/250], Progress: 13/13, Train Loss: 0.0064
Epoch [15/250], Train Loss: 0.2451, Validation Loss: 0.0535

Epoch [16/250], Progress: 1/13, Train Loss: 0.0047
Epoch [16/250], Progress: 2/13, Train Loss: 0.2252
Epoch [16/250], Progress: 3/13, Train Loss: 0.0354
Epoch [16/250], Progress: 4/13, Train Loss: 0.5401
Epoch [16/250], Progress: 5/13, Train Loss: 0.1972
Epoch [16/250], Progress: 6/13, Train Loss: 0.0408
Epoch [16/250], Progress: 7/13, Train Loss: 0.0825
Epoch [16/250], Progress: 8/13, Train Loss: 0.0750
Epoch [16/250], Progress: 9/13, Train Loss: 0.1149
Epoch [16/250], Progress: 10/13, Train Loss: 0.0625
Epoch [16/250], Progress: 11/13, Train Loss: 0.0365
Epoch [16/250], Progress: 12/13, Train Loss: 0.1945
Epoch [16/250], Progress: 13/13, Train Loss: 0.0674
Epoch [16/250], Train Loss: 0.1290, Validation Loss: 0.0477

Epoch [17/250], Progress: 1/13, Train Loss: 0.0545
Epoch [17/250], Progress: 2/13, Train Loss: 0.1136
Epoch [17/250], Progress: 3/13, Train Loss: 0.1208
Epoch [17/250], Progress: 4/13, Train Loss: 0.0116
Epoch [17/250], Progress: 5/13, Train Loss: 0.0847
Epoch [17/250], Progress: 6/13, Train Loss: 0.2818
Epoch [17/250], Progress: 7/13, Train Loss: 0.0353
Epoch [17/250], Progress: 8/13, Train Loss: 0.1493
Epoch [17/250], Progress: 9/13, Train Loss: 0.3060
Epoch [17/250], Progress: 10/13, Train Loss: 0.0794
Epoch [17/250], Progress: 11/13, Train Loss: 0.1344
Epoch [17/250], Progress: 12/13, Train Loss: 0.0715
Epoch [17/250], Progress: 13/13, Train Loss: 0.3542
Epoch [17/250], Train Loss: 0.1382, Validation Loss: 0.0450

Epoch [18/250], Progress: 1/13, Train Loss: 0.0960
Epoch [18/250], Progress: 2/13, Train Loss: 0.1356
Epoch [18/250], Progress: 3/13, Train Loss: 0.0905
Epoch [18/250], Progress: 4/13, Train Loss: 0.0332
Epoch [18/250], Progress: 5/13, Train Loss: 0.1224
Epoch [18/250], Progress: 6/13, Train Loss: 0.0271
Epoch [18/250], Progress: 7/13, Train Loss: 0.0877
Epoch [18/250], Progress: 8/13, Train Loss: 0.6349
Epoch [18/250], Progress: 9/13, Train Loss: 4.0551
Epoch [18/250], Progress: 10/13, Train Loss: 0.0456
Epoch [18/250], Progress: 11/13, Train Loss: 0.4675
Epoch [18/250], Progress: 12/13, Train Loss: 0.1880
Epoch [18/250], Progress: 13/13, Train Loss: 0.0057
Epoch [18/250], Train Loss: 0.4607, Validation Loss: 0.0467

Epoch [19/250], Progress: 1/13, Train Loss: 0.0972
Epoch [19/250], Progress: 2/13, Train Loss: 0.7090
Epoch [19/250], Progress: 3/13, Train Loss: 0.0768
Epoch [19/250], Progress: 4/13, Train Loss: 0.0976
Epoch [19/250], Progress: 5/13, Train Loss: 0.1172
Epoch [19/250], Progress: 6/13, Train Loss: 1.2371
Epoch [19/250], Progress: 7/13, Train Loss: 0.9114
Epoch [19/250], Progress: 8/13, Train Loss: 0.1498
Epoch [19/250], Progress: 9/13, Train Loss: 0.0499
Epoch [19/250], Progress: 10/13, Train Loss: 0.0491
Epoch [19/250], Progress: 11/13, Train Loss: 0.0437
Epoch [19/250], Progress: 12/13, Train Loss: 0.0273
Epoch [19/250], Progress: 13/13, Train Loss: 0.0295
Epoch [19/250], Train Loss: 0.2766, Validation Loss: 0.0433

Epoch [20/250], Progress: 1/13, Train Loss: 0.5257
Epoch [20/250], Progress: 2/13, Train Loss: 0.1062
Epoch [20/250], Progress: 3/13, Train Loss: 0.4717
Epoch [20/250], Progress: 4/13, Train Loss: 0.0588
Epoch [20/250], Progress: 5/13, Train Loss: 0.0224
Epoch [20/250], Progress: 6/13, Train Loss: 0.1787
Epoch [20/250], Progress: 7/13, Train Loss: 0.0142
Epoch [20/250], Progress: 8/13, Train Loss: 0.0103
Epoch [20/250], Progress: 9/13, Train Loss: 0.0976
Epoch [20/250], Progress: 10/13, Train Loss: 0.6673
Epoch [20/250], Progress: 11/13, Train Loss: 0.0127
Epoch [20/250], Progress: 12/13, Train Loss: 0.0865
Epoch [20/250], Progress: 13/13, Train Loss: 0.8025
Epoch [20/250], Train Loss: 0.2350, Validation Loss: 0.0421

Epoch [21/250], Progress: 1/13, Train Loss: 0.0296
Epoch [21/250], Progress: 2/13, Train Loss: 0.4924
