Epoch [3/250], Progress: 11/13, Train Loss: 1.3679
Epoch [3/250], Progress: 12/13, Train Loss: 2.4302
Epoch [3/250], Progress: 13/13, Train Loss: 0.0010
Epoch [3/250], Train Loss: 1.4835, Validation Loss: 0.4765

Epoch [4/250], Progress: 1/13, Train Loss: 0.4679
Epoch [4/250], Progress: 2/13, Train Loss: 0.6911
Epoch [4/250], Progress: 3/13, Train Loss: 0.8429
Epoch [4/250], Progress: 4/13, Train Loss: 0.0987
Epoch [4/250], Progress: 5/13, Train Loss: 0.7186
Epoch [4/250], Progress: 6/13, Train Loss: 0.3635
Epoch [4/250], Progress: 7/13, Train Loss: 2.5423
Epoch [4/250], Progress: 8/13, Train Loss: 0.5993
Epoch [4/250], Progress: 9/13, Train Loss: 0.9573
Epoch [4/250], Progress: 10/13, Train Loss: 0.2412
